StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4,Q5,Q5_4_TEXT,Q7,Q6,1. TTCW Fluency1,2. TTCW Fluency2,3. TTCW Fluency3,"4. TTCW Fluency4 ",5. TTCW Fluency5,6.TTCW Flexibility1 ,7.TTCW Flexibility2 ,8.TTCW Flexibility3 ,9. TTCW Originality1,10.TTCW Originality2,11.TTCW Originality3,12.TTCW Elaboration1,13.TTCW Elaboration2,14.TTCW Elaboration3,15. TTCW Fluency1,16. TTCW Fluency2,17. TTCW Fluency3,18. TTCW Fluency4,19. TTCW Fluency5,"20TTCW Flexibility1 ",21TTCW Flexibility2 ,22TTCW Flexibility3 ,23.TTCW Originality1,24.TTCW Originality2,25.TTCW Originality3,26.TTCW Elaboration1,27.TTCW Elaboration2,28.TTCW Elaboration3,Q339,set,order,llm_model,llm_file,human_file
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Wat is je leeftijd?,Met welk gender identificeer je je (het meest)? - Selected Choice,"Met welk gender identificeer je je (het meest)? - Anders, namelijk: - Text",Wat is het hoogste opleidingsniveau waarvan je een diploma hebt behaald?,Wat is jouw vakgebied/studierichting?,1. TTCW Fluency1,2. TTCW Fluency2,3. TTCW Fluency3,4. TTCW Fluency4,"Werken de verschillende elementen van het verhaal samen tot een samenhangend, boeiend en bevredigend geheel?
Meer informatie over deze vraag 
Narratieve coherentie verwijst naar de mate waarin een verhaal logisch en samenhangend overkomt. Een goed opgebouwd verhaal volgt doorgaans een duidelijke lijn, waarbij gebeurtenissen in het begin het midden voorbereiden, dat op zijn beurt logisch naar het einde toewerkt. Elke scène, handeling van een personage en elk stukje dialoog zou het verhaal moeten ondersteunen en verder moeten brengen. Sterk geschreven verhalen beschikken over een onderliggende eenheid die alle elementen met elkaar verbindt.","Biedt het verhaal diverse perspectieven, en worden ook onsympathieke personages overtuigend en accuraat weergegeven?
Meer informatie over deze vraag 
Een alwetende verteller is een alleswetende vertelstem die in een verhaal op overtuigende en nauwkeurige wijze verschillende perspectieven van personages kan weergeven, waaronder die van moreel ambigue of onsympathieke figuren. Zo’n verteller versterkt het gevoel van betrouwbaarheid of waarachtigheid in literaire werken, omdat de lezer inzicht krijgt in meerdere personages tegelijk. Doordat gebeurtenissen vanuit verschillende invalshoeken worden belicht, ontstaat een ogenschijnlijk objectiever beeld van wat er gebeurt.","Bereikt het verhaal een goede balans tussen innerlijke gedachten en uiterlijk vertoon op een emotioneel flexibele manier?
Meer informatie over deze vraag 
Emotionele flexibiliteit gaat na of een tekst een effectieve balans weet te vinden tussen actie en introspectie, en of er een breed en geloofwaardig scala aan emoties wordt weergegeven. ‘Uiterlijkheid’ verwijst naar de observeerbare handelingen, gedragingen en dialogen van personages, evenals de fysieke elementen van setting, plot en conflict. ‘Innerlijkheid’ daarentegen omvat het innerlijke leven van een personage, zoals gedachten, gevoelens, herinneringen en subjectieve ervaringen. Een evenwicht tussen deze twee dimensies is cruciaal voor goed uitgewerkte personages en een meeslepende verhaalbeleving.","Zijn de wendingen in het verhaal verrassend en passend?
Meer informatie over deze vraag 
Goed creatief schrijven bevat vaak plotwendingen, karakterontwikkelingen of thematische onthullingen die de lezer verrassen en op een spannende manier verwachtingen doorbreken. Tegelijkertijd moeten deze wendingen wel geloofwaardig blijven binnen de context van het verhaal, de personages en de thema’s. Het mag niet aanvoelen alsof de schrijver de eigen regels negeert of personages onlogisch laat handelen puur om een schokeffect te bereiken.","Krijgt een gemiddelde lezer inspiratie uit dit verhaal?
Meer informatie over deze vraag 
Een goed verhaal dat nieuwe inzichten biedt in de menselijke natuur, cultuur, unieke perspectieven of vernieuwende ideeën en thema’s kan een blijvende indruk achterlaten op lezers en op de samenleving.","Is het verhaal origineel, zonder clichés?
Meer informatie over deze vraag 
Een cliché is een idee, uitdrukking, personage of verhaallijn die zo vaak is gebruikt dat het zijn oorspronkelijke kracht of betekenis heeft verloren. Clichés worden doorgaans als voorspelbaar en weinig inspirerend ervaren door lezers. Schrijvers wordt daarom vaak aangeraden om clichés te vermijden, omdat ze kunnen duiden op een gebrek aan originaliteit of zorgvuldig taalgebruik.",": :Meer informatie over deze vraag 
Originaliteit in vorm kan voortkomen uit het onconventioneel inzetten van format, genre of narratieve structuur. Zo wordt The Color Purple van Alice Walker verteld via brieven van de hoofdpersoon. American Gods van Neil Gaiman combineert fantasy, mysterie en mythische fictie op onverwachte manieren. The Sound and the Fury van William Faulkner wijkt af van traditionele plotstructuren door het gebruik van stream-of-consciousness vanuit verschillende personages. Het doel van dergelijke formele vernieuwing is vaak om de lezer een frisse leeservaring te bieden, conventionele verwachtingen te doorbreken of thema’s op een diepere manier te verkennen.","Maakt de schrijver de fictieve wereld geloofwaardig door in te spelen op zintuigen?
Meer informatie over deze vraag 
Een effectieve schrijver zet vaak zintuiglijke details in om de omgeving levendig en tastbaar te maken. Hierdoor wordt de wereld geloofwaardig, zelfs wanneer deze volledig fictief of fantastisch is. Het helpt de lezer om zijn ongeloof opzij te zetten en zich dieper in het verhaal te laten onderdompelen.","Voelt elk personage voldoende ontwikkeld aan?
Meer informatie over deze vraag 
Een ‘vlak personage’ is doorgaans een bijfiguur die weinig is uitgewerkt en nauwelijks ontwikkeling doormaakt. Zo’n personage belichaamt vaak één enkele eigenschap of functie en dient voornamelijk om de plot vooruit te helpen. Een ‘complex personage’ (ook wel rond personage genoemd) heeft juist diepgang, meerdere karaktereigenschappen en maakt een ontwikkeling door gedurende het verhaal. Fictie wordt vaak als boeiender ervaren wanneer schrijvers ogenschijnlijk stereotype personages meer gelaagdheid geven, omdat dit beter aansluit bij de complexiteit van echte mensen.","Heeft het verhaal meerdere betekenislagen (oppervlakte vs subtekst)?
Meer informatie over deze vraag 
In Ernest Hemingway’s Hills Like White Elephants wordt een gesprek tussen een koppel over ogenschijnlijk ongerelateerde onderwerpen in werkelijkheid een verhulde discussie over abortus. Hun dialoog benoemt dit nergens expliciet, maar via subtekst wordt de betekenis sterk geïmpliceerd. Effectief schrijven werkt vaak op zowel een oppervlakteniveau als een onderliggend niveau. De oppervlaktetekst houdt de lezer betrokken bij plot en personages, terwijl de subtekst extra diepgang, complexiteit en interpretatielagen toevoegt.","Voelt de manipulatie van tijd qua compressie of vertraging passend en evenwichtig aan?
Meer informatie over deze vraag 
Deze vraag heeft betrekking op de manier waarop tijd in een verhaal wordt gemanipuleerd om een dramatisch effect te creëren.Een bekwame schrijver kan de verhouding tussen beide bewust aanpassen om het verteltempo te beïnvloeden: door gebeurtenissen samen te persen (compressie) of juist uit te rekken (vertraging). Deze techniek is van groot belang voor de manier waarop lezers het verhaal beleven en erin worden meegezogen.","Heeft het verhaal een balans tussen scène en expositie?
Meer informatie over deze vraag 
Een ‘scène’ is een onderdeel van het verhaal dat zich in realtime ontvouwt, meestal met interactie tussen personages, dialoog en handelingen. ‘Expositie’ daarentegen geeft een samenvattende weergave van informatie of gebeurtenissen, zoals achtergrondverhalen van personages, context over de setting of eerdere ontwikkelingen. De ideale verhouding tussen scènes en samenvatting/expositie verschilt per verhaal, maar is in het algemeen belangrijk voor een goed verteltempo, de betrokkenheid van de lezer en het effectief overbrengen van essentiële informatie.","Maakt het verhaal verfijnd gebruik van uitdrukkingen, metaforen of literaire verwijzingen?
Meer informatie over deze vraag 
Metaforen zijn niet iets om lichtzinnig mee om te gaan. Eén enkele metafoor kan liefde doen ontstaan. Het zorgvuldig inzetten van literaire verwijzingen en figuurlijke taal, zoals metaforen, geeft creatieve teksten vaak extra diepgang, belangstelling en gelaagde betekenis. Daardoor ontstaat een rijkere leeservaring, waarin letterlijke gebeurtenissen worden aangevuld met symbolische of thematische lagen.","Voelt het einde van het verhaal natuurlijk en passend aan, in plaats van willekeurig of abrupt?
Meer informatie over deze vraag 
Wanneer een schrijver een tekst afsluit omdat hij simpelweg “klaar is met schrijven”, kan de conclusie abrupt, onsamenhangend of onbevredigend overkomen voor de lezer. Een krachtig einde daarentegen zorgt voor afronding, verbindt de centrale conflicten of vragen met elkaar en laat de lezer achter met het gevoel dat de narratieve reis volledig en de moeite waard was.","Werken de verschillende elementen van het verhaal samen tot een samenhangend, boeiend en bevredigend geheel?
Meer informatie over deze vraag 
Narratieve coherentie verwijst naar de mate waarin een verhaal logisch en samenhangend overkomt. Een goed opgebouwd verhaal volgt doorgaans een duidelijke lijn, waarbij gebeurtenissen in het begin het midden voorbereiden, dat op zijn beurt logisch naar het einde toewerkt. Elke scène, handeling van een personage en elk stukje dialoog zou het verhaal moeten ondersteunen en verder moeten brengen. Sterk geschreven verhalen beschikken over een onderliggende eenheid die alle elementen met elkaar verbindt.","Biedt het verhaal diverse perspectieven, en worden ook onsympathieke personages overtuigend en accuraat weergegeven?
Meer informatie over deze vraag 
Een alwetende verteller is een alleswetende vertelstem die in een verhaal op overtuigende en nauwkeurige wijze verschillende perspectieven van personages kan weergeven, waaronder die van moreel ambigue of onsympathieke figuren. Zo’n verteller versterkt het gevoel van betrouwbaarheid of waarachtigheid in literaire werken, omdat de lezer inzicht krijgt in meerdere personages tegelijk. Doordat gebeurtenissen vanuit verschillende invalshoeken worden belicht, ontstaat een ogenschijnlijk objectiever beeld van wat er gebeurt.","Bereikt het verhaal een goede balans tussen innerlijke gedachten en uiterlijk vertoon op een emotioneel flexibele manier?
Meer informatie over deze vraag 
Emotionele flexibiliteit gaat na of een tekst een effectieve balans weet te vinden tussen actie en introspectie, en of er een breed en geloofwaardig scala aan emoties wordt weergegeven. ‘Uiterlijkheid’ verwijst naar de observeerbare handelingen, gedragingen en dialogen van personages, evenals de fysieke elementen van setting, plot en conflict. ‘Innerlijkheid’ daarentegen omvat het innerlijke leven van een personage, zoals gedachten, gevoelens, herinneringen en subjectieve ervaringen. Een evenwicht tussen deze twee dimensies is cruciaal voor goed uitgewerkte personages en een meeslepende verhaalbeleving.","Zijn de wendingen in het verhaal verrassend en passend?
Meer informatie over deze vraag 
Goed creatief schrijven bevat vaak plotwendingen, karakterontwikkelingen of thematische onthullingen die de lezer verrassen en op een spannende manier verwachtingen doorbreken. Tegelijkertijd moeten deze wendingen wel geloofwaardig blijven binnen de context van het verhaal, de personages en de thema’s. Het mag niet aanvoelen alsof de schrijver de eigen regels negeert of personages onlogisch laat handelen puur om een schokeffect te bereiken.","Krijgt een gemiddelde lezer inspiratie uit dit verhaal?
Meer informatie over deze vraag 
Een goed verhaal dat nieuwe inzichten biedt in de menselijke natuur, cultuur, unieke perspectieven of vernieuwende ideeën en thema’s kan een blijvende indruk achterlaten op lezers en op de samenleving.","Is het verhaal origineel, zonder clichés?
Meer informatie over deze vraag 
Een cliché is een idee, uitdrukking, personage of verhaallijn die zo vaak is gebruikt dat het zijn oorspronkelijke kracht of betekenis heeft verloren. Clichés worden doorgaans als voorspelbaar en weinig inspirerend ervaren door lezers. Schrijvers wordt daarom vaak aangeraden om clichés te vermijden, omdat ze kunnen duiden op een gebrek aan originaliteit of zorgvuldig taalgebruik.","Is de vorm van het verhaal origineel?
Meer informatie over deze vraag 
Originaliteit in vorm kan voortkomen uit het onconventioneel inzetten van format, genre of narratieve structuur. Zo wordt The Color Purple van Alice Walker verteld via brieven van de hoofdpersoon. American Gods van Neil Gaiman combineert fantasy, mysterie en mythische fictie op onverwachte manieren. The Sound and the Fury van William Faulkner wijkt af van traditionele plotstructuren door het gebruik van stream-of-consciousness vanuit verschillende personages. Het doel van dergelijke formele vernieuwing is vaak om de lezer een frisse leeservaring te bieden, conventionele verwachtingen te doorbreken of thema’s op een diepere manier te verkennen.","Maakt de schrijver de fictieve wereld geloofwaardig door in te spelen op zintuigen?
Meer informatie over deze vraag 
Een effectieve schrijver zet vaak zintuiglijke details in om de omgeving levendig en tastbaar te maken. Hierdoor wordt de wereld geloofwaardig, zelfs wanneer deze volledig fictief of fantastisch is. Het helpt de lezer om zijn ongeloof opzij te zetten en zich dieper in het verhaal te laten onderdompelen.","Voelt elk personage voldoende ontwikkeld aan?
Meer informatie over deze vraag 
Een ‘vlak personage’ is doorgaans een bijfiguur die weinig is uitgewerkt en nauwelijks ontwikkeling doormaakt. Zo’n personage belichaamt vaak één enkele eigenschap of functie en dient voornamelijk om de plot vooruit te helpen. Een ‘complex personage’ (ook wel rond personage genoemd) heeft juist diepgang, meerdere karaktereigenschappen en maakt een ontwikkeling door gedurende het verhaal. Fictie wordt vaak als boeiender ervaren wanneer schrijvers ogenschijnlijk stereotype personages meer gelaagdheid geven, omdat dit beter aansluit bij de complexiteit van echte mensen.","Heeft het verhaal meerdere betekenislagen (oppervlakte vs subtekst)?
Meer informatie over deze vraag 
In Ernest Hemingway’s Hills Like White Elephants wordt een gesprek tussen een koppel over ogenschijnlijk ongerelateerde onderwerpen in werkelijkheid een verhulde discussie over abortus. Hun dialoog benoemt dit nergens expliciet, maar via subtekst wordt de betekenis sterk geïmpliceerd. Effectief schrijven werkt vaak op zowel een oppervlakteniveau als een onderliggend niveau. De oppervlaktetekst houdt de lezer betrokken bij plot en personages, terwijl de subtekst extra diepgang, complexiteit en interpretatielagen toevoegt.","Dit waren alle vragen. Heel erg bedankt voor je tijd. 



Nog een ding: je hebt zojuist één verhaal gelezen die door een mens is geschreven, maar ook één die door AI gegenereerd is.

Welke van de twee denk jij dat AI gegenereerd was?",set,order,llm_model,llm_file,human_file
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID5_4_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID284""}","{""ImportId"":""QID287""}","{""ImportId"":""QID293""}","{""ImportId"":""QID295""}","{""ImportId"":""QID296""}","{""ImportId"":""QID286""}","{""ImportId"":""QID285""}","{""ImportId"":""QID297""}","{""ImportId"":""QID291""}","{""ImportId"":""QID290""}","{""ImportId"":""QID289""}","{""ImportId"":""QID292""}","{""ImportId"":""QID337""}","{""ImportId"":""QID338""}","{""ImportId"":""QID325""}","{""ImportId"":""QID326""}","{""ImportId"":""QID327""}","{""ImportId"":""QID328""}","{""ImportId"":""QID329""}","{""ImportId"":""QID330""}","{""ImportId"":""QID331""}","{""ImportId"":""QID332""}","{""ImportId"":""QID333""}","{""ImportId"":""QID334""}","{""ImportId"":""QID335""}","{""ImportId"":""QID336""}","{""ImportId"":""QID294""}","{""ImportId"":""QID288""}","{""ImportId"":""QID339""}","{""ImportId"":""set""}","{""ImportId"":""order""}","{""ImportId"":""llm_model""}","{""ImportId"":""llm_file""}","{""ImportId"":""human_file""}"
2026-05-24 01:25:13,2026-05-24 01:41:02,IP Address,213.73.165.230,100,949,True,2026-05-24 01:41:03,R_2MKmlAlIezyJ2ps,,,,,52.5969,4.7083,anonymous,EN,28,Man,,WO Master,biomedische wetenschappen,Ja,Ja,Ja,Ja,Nee,Ja,Nee,Nee,Nee,Nee,Ja,Nee,Nee,Nee,Ja,Ja,Ja,Ja,Ja,Nee,Ja,Nee,Ja,Nee,Nee,Ja,Ja,Nee,,11,llm_first,,,
2026-05-24 01:59:07,2026-05-24 02:16:53,IP Address,213.73.165.230,100,1065,True,2026-05-24 02:16:53,R_2exxZTGKMM6B3oE,,,,,52.5969,4.7083,anonymous,EN,21,Man,,HBO Bachelor,"Communicatie & Multimedia Design
",Nee,Ja,Ja,Nee,Nee,Nee,Ja,Nee,Ja,Ja,Nee,Ja,Nee,Ja,Nee,Ja,Ja,Nee,Ja,Ja,Ja,Nee,Nee,Nee,Nee,Ja,Ja,Ja,,14,llm_first,,,
2026-05-24 10:04:46,2026-05-24 10:19:50,IP Address,213.73.165.230,100,904,True,2026-05-24 10:19:51,R_8arEEH1cPJQGz3X,,,,,52.5969,4.7083,anonymous,EN,61,Man,,HBO Bachelor,Bedrijfseconomie/ICT,Nee,Nee,Nee,Ja,Nee,Ja,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,,17,human_first,,,
2026-05-25 01:02:39,2026-05-25 01:11:52,IP Address,82.74.162.190,100,552,True,2026-05-25 01:11:53,R_8qppLO1hgqB8a3q,,,,,53.2054,6.5496,anonymous,EN,21,Man,,WO Bachelor,Business Administration,Ja,Ja,Ja,Nee,Ja,Nee,Ja,Ja,Ja,Nee,Nee,Ja,Nee,Ja,Ja,Nee,Ja,Ja,Ja,Nee,Ja,Nee,Ja,Nee,Nee,Ja,Nee,Ja,Verhaal 1,3,llm_first,gpt,gpt_story_3.txt,human_story_3.txt
2026-05-25 01:24:03,2026-05-25 01:36:45,IP Address,81.207.253.184,100,761,True,2026-05-25 01:36:45,R_2oKG9BFZpF01UBz,,,,,52.6958,6.1956,anonymous,EN,59,Vrouw,,"Middelbaar onderwijs (VMBO, HAVO, VWO)","Dienstverlening ",Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nee,Ja,Ja,Ja,Ja,Verhaal 1,33,llm_first,gemini,gemini_story_33.txt,human_story_33.txt
2026-05-25 01:44:27,2026-05-25 01:49:55,IP Address,95.99.24.207,100,328,True,2026-05-25 01:49:56,R_8p2snaCUa6Zbxsd,,,,,53.2353,6.5656,anonymous,EN,24,Vrouw,,WO Bachelor,Spatial planning,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nee,Ja,Nee,Nee,Ja,Ja,Ja,Nee,Ja,Ja,Nee,Nee,Nee,Nee,Ja,Nee,Nee,Nee,Nee,Verhaal 2,2,human_first,gpt,gpt_story_2.txt,human_story_2.txt
2026-05-25 02:07:33,2026-05-25 02:23:36,IP Address,62.250.60.171,100,963,True,2026-05-25 02:23:37,R_8nrPbAMWxNe01Dr,,,,,53.2264,6.5828,anonymous,EN,23,Vrouw,,WO Bachelor,Biomedical Sciences,Ja,Ja,Ja,Ja,Ja,Nee,Ja,Ja,Nee,Ja,Nee,Ja,Nee,Nee,Ja,Ja,Ja,Ja,Ja,Nee,Ja,Ja,Nee,Nee,Nee,Ja,Ja,Nee,Verhaal 1,12,llm_first,gpt,gpt_story_12.txt,human_story_12.txt
2026-05-25 02:41:05,2026-05-25 02:51:41,IP Address,82.73.85.245,100,636,True,2026-05-25 02:51:42,R_2JOXll8H0xcxisR,,,,,52.9964,6.9488,anonymous,EN,24,Vrouw,,HBO Bachelor,Multimedia design,Ja,Nee,Nee,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nee,Ja,Nee,Ja,Nee,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Verhaal 2,10,human_first,claude,claude_story_10.txt,human_story_10.txt
