ID,Name of the Contest,Organzing Party,Acceptance Rate,Period / Time of Submission,Prizes & Career incentives,Jury members,End Score
1,Gluren bij de buren,4,3,3,2,3,3.0
2,120 woorden,2,3,2,2,2,2.2
3,De Grens,4,5,3,3,3,3.6
4,NPO boekenweek 2016,5,5,2,4,4,4.0
5,De mens van 2050,3,3,3,2,2,2.6
6,Een nieuwswaardig sprookje,3,4,3,2,3,3.0
7,De barbiepop,3,5,3,3,3,3.4
8,Bloedige lente,3,4,3,2,3,3.0
9,Digitale liefde,3,5,2,2,3,3.0
10,Baarnse Literatuurprijs 2017,2,4,4,2,2,2.8
11,De gouden eeuw ,3,2,3,2,2,2.4
12,Tomas Ross crime,4,4,3,3,3,3.4
13,Wat als...,2,,3,,,2.5
14,Het kerstdiner,3,5,3,3,3,3.4
15,Het Rode Oor 2018,4,4,3,4,,3.8
16,Baarnse Literatuurprijs 2018,2,,3,2,2,2.3
17,Nationale Voorleeslunch 2018,5,4,3,4,4,4.0
18,De bruiloft,3,4,3,3,3,3.2
19,Het Rode Oor 2019,4,4,3,4,3,3.6
20,De kloof,5,4,3,3,4,3.8
21,Baarnse literatuurprijs 2019,2,,3,2,2,2.3
22,Het Rode Oor 2020,4,4,3,3,4,3.6
23,Gaan/Blijven,2.5,3,2,2,3,2.5
24,Beste Broers,3,4,3,2,3,3.0
25,PRONK!,3,4,3,2,,3.0
26,TABOE,1,4,3,2,2,2.4
27,Geheime gang ,3,,4,2,2,2.8
28,Avonturen in de Vakantie ,3,,4,2,2,2.8
29,Het Verlaten Schip,3,,4,2,2,2.8
30,Baarnse Literatuurprijs 2020,2,,3,2,2,1.8
31,Baarnse Literatuurprijs 2021,2,4,3,2,2,2.6
32,50 jaar Mensje van Keulen,4,5,3,3,4,3.8
33,Herman de Man 2021,2,3,3,2,3,2.6
34,De stem ,3,4,3,2,3,3.0
35,Baarnse Literatuurprijs 2022,2,,3,2,2,2.3
36,Ultrakorte verhalen,3,,2,2,3,2.5
