rater_id,expertise,source,question_id,pass,set,order,llm_author,story_file,obs_id,dimension,author_gpt_vs_claude,author_gemini_vs_claude,end_score,end_score_c
R_2MKmlAlIezyJ2ps,non-expert,Human,1,1,11.0,LLM_first,Human,human_story_11.txt,0,Fluency1,0,0,2.4,-0.5557522123893808
R_2MKmlAlIezyJ2ps,non-expert,LLM,1,1,11.0,LLM_first,claude,claude_story_11.txt,1,Fluency1,0,0,2.4,-0.5557522123893808
R_2MKmlAlIezyJ2ps,non-expert,Human,2,1,11.0,LLM_first,Human,human_story_11.txt,2,Fluency2,0,0,2.4,-0.5557522123893808
R_2MKmlAlIezyJ2ps,non-expert,LLM,2,1,11.0,LLM_first,claude,claude_story_11.txt,3,Fluency2,0,0,2.4,-0.5557522123893808
R_2MKmlAlIezyJ2ps,non-expert,Human,3,1,11.0,LLM_first,Human,human_story_11.txt,4,Fluency3,0,0,2.4,-0.5557522123893808
R_2MKmlAlIezyJ2ps,non-expert,LLM,3,1,11.0,LLM_first,claude,claude_story_11.txt,5,Fluency3,0,0,2.4,-0.5557522123893808
R_2MKmlAlIezyJ2ps,non-expert,Human,4,1,11.0,LLM_first,Human,human_story_11.txt,6,Fluency4,0,0,2.4,-0.5557522123893808
R_2MKmlAlIezyJ2ps,non-expert,LLM,4,1,11.0,LLM_first,claude,claude_story_11.txt,7,Fluency4,0,0,2.4,-0.5557522123893808
R_2MKmlAlIezyJ2ps,non-expert,Human,5,1,11.0,LLM_first,Human,human_story_11.txt,8,Fluency5,0,0,2.4,-0.5557522123893808
R_2MKmlAlIezyJ2ps,non-expert,LLM,5,0,11.0,LLM_first,claude,claude_story_11.txt,9,Fluency5,0,0,2.4,-0.5557522123893808
R_2MKmlAlIezyJ2ps,non-expert,Human,6,0,11.0,LLM_first,Human,human_story_11.txt,10,Flexibility1,0,0,2.4,-0.5557522123893808
R_2MKmlAlIezyJ2ps,non-expert,LLM,6,1,11.0,LLM_first,claude,claude_story_11.txt,11,Flexibility1,0,0,2.4,-0.5557522123893808
R_2MKmlAlIezyJ2ps,non-expert,Human,7,1,11.0,LLM_first,Human,human_story_11.txt,12,Flexibility2,0,0,2.4,-0.5557522123893808
R_2MKmlAlIezyJ2ps,non-expert,LLM,7,0,11.0,LLM_first,claude,claude_story_11.txt,13,Flexibility2,0,0,2.4,-0.5557522123893808
R_2MKmlAlIezyJ2ps,non-expert,Human,8,0,11.0,LLM_first,Human,human_story_11.txt,14,Flexibility3,0,0,2.4,-0.5557522123893808
R_2MKmlAlIezyJ2ps,non-expert,LLM,8,0,11.0,LLM_first,claude,claude_story_11.txt,15,Flexibility3,0,0,2.4,-0.5557522123893808
R_2MKmlAlIezyJ2ps,non-expert,Human,9,1,11.0,LLM_first,Human,human_story_11.txt,16,Originality1,0,0,2.4,-0.5557522123893808
R_2MKmlAlIezyJ2ps,non-expert,LLM,9,0,11.0,LLM_first,claude,claude_story_11.txt,17,Originality1,0,0,2.4,-0.5557522123893808
R_2MKmlAlIezyJ2ps,non-expert,Human,10,0,11.0,LLM_first,Human,human_story_11.txt,18,Originality2,0,0,2.4,-0.5557522123893808
R_2MKmlAlIezyJ2ps,non-expert,LLM,10,0,11.0,LLM_first,claude,claude_story_11.txt,19,Originality2,0,0,2.4,-0.5557522123893808
R_2MKmlAlIezyJ2ps,non-expert,Human,11,0,11.0,LLM_first,Human,human_story_11.txt,20,Originality3,0,0,2.4,-0.5557522123893808
R_2MKmlAlIezyJ2ps,non-expert,LLM,11,1,11.0,LLM_first,claude,claude_story_11.txt,21,Originality3,0,0,2.4,-0.5557522123893808
R_2MKmlAlIezyJ2ps,non-expert,Human,12,1,11.0,LLM_first,Human,human_story_11.txt,22,Elaboration1,0,0,2.4,-0.5557522123893808
R_2MKmlAlIezyJ2ps,non-expert,LLM,12,0,11.0,LLM_first,claude,claude_story_11.txt,23,Elaboration1,0,0,2.4,-0.5557522123893808
R_2MKmlAlIezyJ2ps,non-expert,Human,13,1,11.0,LLM_first,Human,human_story_11.txt,24,Elaboration2,0,0,2.4,-0.5557522123893808
R_2MKmlAlIezyJ2ps,non-expert,LLM,13,0,11.0,LLM_first,claude,claude_story_11.txt,25,Elaboration2,0,0,2.4,-0.5557522123893808
R_2MKmlAlIezyJ2ps,non-expert,Human,14,0,11.0,LLM_first,Human,human_story_11.txt,26,Elaboration3,0,0,2.4,-0.5557522123893808
R_2MKmlAlIezyJ2ps,non-expert,LLM,14,0,11.0,LLM_first,claude,claude_story_11.txt,27,Elaboration3,0,0,2.4,-0.5557522123893808
R_2exxZTGKMM6B3oE,non-expert,Human,1,0,14.0,LLM_first,Human,human_story_14.txt,28,Fluency1,0,0,3.4,0.4442477876106192
R_2exxZTGKMM6B3oE,non-expert,LLM,1,0,14.0,LLM_first,claude,claude_story_14.txt,29,Fluency1,0,0,3.4,0.4442477876106192
R_2exxZTGKMM6B3oE,non-expert,Human,2,1,14.0,LLM_first,Human,human_story_14.txt,30,Fluency2,0,0,3.4,0.4442477876106192
R_2exxZTGKMM6B3oE,non-expert,LLM,2,1,14.0,LLM_first,claude,claude_story_14.txt,31,Fluency2,0,0,3.4,0.4442477876106192
R_2exxZTGKMM6B3oE,non-expert,Human,3,1,14.0,LLM_first,Human,human_story_14.txt,32,Fluency3,0,0,3.4,0.4442477876106192
R_2exxZTGKMM6B3oE,non-expert,LLM,3,1,14.0,LLM_first,claude,claude_story_14.txt,33,Fluency3,0,0,3.4,0.4442477876106192
R_2exxZTGKMM6B3oE,non-expert,Human,4,0,14.0,LLM_first,Human,human_story_14.txt,34,Fluency4,0,0,3.4,0.4442477876106192
R_2exxZTGKMM6B3oE,non-expert,LLM,4,0,14.0,LLM_first,claude,claude_story_14.txt,35,Fluency4,0,0,3.4,0.4442477876106192
R_2exxZTGKMM6B3oE,non-expert,Human,5,1,14.0,LLM_first,Human,human_story_14.txt,36,Fluency5,0,0,3.4,0.4442477876106192
R_2exxZTGKMM6B3oE,non-expert,LLM,5,0,14.0,LLM_first,claude,claude_story_14.txt,37,Fluency5,0,0,3.4,0.4442477876106192
R_2exxZTGKMM6B3oE,non-expert,Human,6,1,14.0,LLM_first,Human,human_story_14.txt,38,Flexibility1,0,0,3.4,0.4442477876106192
R_2exxZTGKMM6B3oE,non-expert,LLM,6,0,14.0,LLM_first,claude,claude_story_14.txt,39,Flexibility1,0,0,3.4,0.4442477876106192
R_2exxZTGKMM6B3oE,non-expert,Human,7,1,14.0,LLM_first,Human,human_story_14.txt,40,Flexibility2,0,0,3.4,0.4442477876106192
R_2exxZTGKMM6B3oE,non-expert,LLM,7,1,14.0,LLM_first,claude,claude_story_14.txt,41,Flexibility2,0,0,3.4,0.4442477876106192
R_2exxZTGKMM6B3oE,non-expert,Human,8,0,14.0,LLM_first,Human,human_story_14.txt,42,Flexibility3,0,0,3.4,0.4442477876106192
R_2exxZTGKMM6B3oE,non-expert,LLM,8,0,14.0,LLM_first,claude,claude_story_14.txt,43,Flexibility3,0,0,3.4,0.4442477876106192
R_2exxZTGKMM6B3oE,non-expert,Human,9,0,14.0,LLM_first,Human,human_story_14.txt,44,Originality1,0,0,3.4,0.4442477876106192
R_2exxZTGKMM6B3oE,non-expert,LLM,9,1,14.0,LLM_first,claude,claude_story_14.txt,45,Originality1,0,0,3.4,0.4442477876106192
R_2exxZTGKMM6B3oE,non-expert,Human,10,0,14.0,LLM_first,Human,human_story_14.txt,46,Originality2,0,0,3.4,0.4442477876106192
R_2exxZTGKMM6B3oE,non-expert,LLM,10,1,14.0,LLM_first,claude,claude_story_14.txt,47,Originality2,0,0,3.4,0.4442477876106192
R_2exxZTGKMM6B3oE,non-expert,Human,11,0,14.0,LLM_first,Human,human_story_14.txt,48,Originality3,0,0,3.4,0.4442477876106192
R_2exxZTGKMM6B3oE,non-expert,LLM,11,0,14.0,LLM_first,claude,claude_story_14.txt,49,Originality3,0,0,3.4,0.4442477876106192
R_2exxZTGKMM6B3oE,non-expert,Human,12,1,14.0,LLM_first,Human,human_story_14.txt,50,Elaboration1,0,0,3.4,0.4442477876106192
R_2exxZTGKMM6B3oE,non-expert,LLM,12,1,14.0,LLM_first,claude,claude_story_14.txt,51,Elaboration1,0,0,3.4,0.4442477876106192
R_2exxZTGKMM6B3oE,non-expert,Human,13,1,14.0,LLM_first,Human,human_story_14.txt,52,Elaboration2,0,0,3.4,0.4442477876106192
R_2exxZTGKMM6B3oE,non-expert,LLM,13,0,14.0,LLM_first,claude,claude_story_14.txt,53,Elaboration2,0,0,3.4,0.4442477876106192
R_2exxZTGKMM6B3oE,non-expert,Human,14,1,14.0,LLM_first,Human,human_story_14.txt,54,Elaboration3,0,0,3.4,0.4442477876106192
R_2exxZTGKMM6B3oE,non-expert,LLM,14,1,14.0,LLM_first,claude,claude_story_14.txt,55,Elaboration3,0,0,3.4,0.4442477876106192
R_8arEEH1cPJQGz3X,non-expert,Human,1,0,17.0,Human_first,Human,human_story_17.txt,56,Fluency1,0,0,4.0,1.0442477876106193
R_8arEEH1cPJQGz3X,non-expert,LLM,1,1,17.0,Human_first,gpt,gpt_story_17.txt,57,Fluency1,1,0,4.0,1.0442477876106193
R_8arEEH1cPJQGz3X,non-expert,Human,2,0,17.0,Human_first,Human,human_story_17.txt,58,Fluency2,0,0,4.0,1.0442477876106193
R_8arEEH1cPJQGz3X,non-expert,LLM,2,1,17.0,Human_first,gpt,gpt_story_17.txt,59,Fluency2,1,0,4.0,1.0442477876106193
R_8arEEH1cPJQGz3X,non-expert,Human,3,0,17.0,Human_first,Human,human_story_17.txt,60,Fluency3,0,0,4.0,1.0442477876106193
R_8arEEH1cPJQGz3X,non-expert,LLM,3,1,17.0,Human_first,gpt,gpt_story_17.txt,61,Fluency3,1,0,4.0,1.0442477876106193
R_8arEEH1cPJQGz3X,non-expert,Human,4,1,17.0,Human_first,Human,human_story_17.txt,62,Fluency4,0,0,4.0,1.0442477876106193
R_8arEEH1cPJQGz3X,non-expert,LLM,4,1,17.0,Human_first,gpt,gpt_story_17.txt,63,Fluency4,1,0,4.0,1.0442477876106193
R_8arEEH1cPJQGz3X,non-expert,Human,5,0,17.0,Human_first,Human,human_story_17.txt,64,Fluency5,0,0,4.0,1.0442477876106193
R_8arEEH1cPJQGz3X,non-expert,LLM,5,1,17.0,Human_first,gpt,gpt_story_17.txt,65,Fluency5,1,0,4.0,1.0442477876106193
R_8arEEH1cPJQGz3X,non-expert,Human,6,1,17.0,Human_first,Human,human_story_17.txt,66,Flexibility1,0,0,4.0,1.0442477876106193
R_8arEEH1cPJQGz3X,non-expert,LLM,6,1,17.0,Human_first,gpt,gpt_story_17.txt,67,Flexibility1,1,0,4.0,1.0442477876106193
R_8arEEH1cPJQGz3X,non-expert,Human,7,0,17.0,Human_first,Human,human_story_17.txt,68,Flexibility2,0,0,4.0,1.0442477876106193
R_8arEEH1cPJQGz3X,non-expert,LLM,7,1,17.0,Human_first,gpt,gpt_story_17.txt,69,Flexibility2,1,0,4.0,1.0442477876106193
R_8arEEH1cPJQGz3X,non-expert,Human,8,0,17.0,Human_first,Human,human_story_17.txt,70,Flexibility3,0,0,4.0,1.0442477876106193
R_8arEEH1cPJQGz3X,non-expert,LLM,8,1,17.0,Human_first,gpt,gpt_story_17.txt,71,Flexibility3,1,0,4.0,1.0442477876106193
R_8arEEH1cPJQGz3X,non-expert,Human,9,0,17.0,Human_first,Human,human_story_17.txt,72,Originality1,0,0,4.0,1.0442477876106193
R_8arEEH1cPJQGz3X,non-expert,LLM,9,1,17.0,Human_first,gpt,gpt_story_17.txt,73,Originality1,1,0,4.0,1.0442477876106193
R_8arEEH1cPJQGz3X,non-expert,Human,10,0,17.0,Human_first,Human,human_story_17.txt,74,Originality2,0,0,4.0,1.0442477876106193
R_8arEEH1cPJQGz3X,non-expert,LLM,10,1,17.0,Human_first,gpt,gpt_story_17.txt,75,Originality2,1,0,4.0,1.0442477876106193
R_8arEEH1cPJQGz3X,non-expert,Human,11,0,17.0,Human_first,Human,human_story_17.txt,76,Originality3,0,0,4.0,1.0442477876106193
R_8arEEH1cPJQGz3X,non-expert,LLM,11,1,17.0,Human_first,gpt,gpt_story_17.txt,77,Originality3,1,0,4.0,1.0442477876106193
R_8arEEH1cPJQGz3X,non-expert,Human,12,0,17.0,Human_first,Human,human_story_17.txt,78,Elaboration1,0,0,4.0,1.0442477876106193
R_8arEEH1cPJQGz3X,non-expert,LLM,12,1,17.0,Human_first,gpt,gpt_story_17.txt,79,Elaboration1,1,0,4.0,1.0442477876106193
R_8arEEH1cPJQGz3X,non-expert,Human,13,0,17.0,Human_first,Human,human_story_17.txt,80,Elaboration2,0,0,4.0,1.0442477876106193
R_8arEEH1cPJQGz3X,non-expert,LLM,13,1,17.0,Human_first,gpt,gpt_story_17.txt,81,Elaboration2,1,0,4.0,1.0442477876106193
R_8arEEH1cPJQGz3X,non-expert,Human,14,0,17.0,Human_first,Human,human_story_17.txt,82,Elaboration3,0,0,4.0,1.0442477876106193
R_8arEEH1cPJQGz3X,non-expert,LLM,14,1,17.0,Human_first,gpt,gpt_story_17.txt,83,Elaboration3,1,0,4.0,1.0442477876106193
R_8qppLO1hgqB8a3q,non-expert,Human,1,1,3.0,LLM_first,Human,human_story_3.txt,84,Fluency1,0,0,3.6,0.6442477876106194
R_8qppLO1hgqB8a3q,non-expert,LLM,1,1,3.0,LLM_first,gpt,gpt_story_3.txt,85,Fluency1,1,0,3.6,0.6442477876106194
R_8qppLO1hgqB8a3q,non-expert,Human,2,0,3.0,LLM_first,Human,human_story_3.txt,86,Fluency2,0,0,3.6,0.6442477876106194
R_8qppLO1hgqB8a3q,non-expert,LLM,2,1,3.0,LLM_first,gpt,gpt_story_3.txt,87,Fluency2,1,0,3.6,0.6442477876106194
R_8qppLO1hgqB8a3q,non-expert,Human,3,1,3.0,LLM_first,Human,human_story_3.txt,88,Fluency3,0,0,3.6,0.6442477876106194
R_8qppLO1hgqB8a3q,non-expert,LLM,3,1,3.0,LLM_first,gpt,gpt_story_3.txt,89,Fluency3,1,0,3.6,0.6442477876106194
R_8qppLO1hgqB8a3q,non-expert,Human,4,1,3.0,LLM_first,Human,human_story_3.txt,90,Fluency4,0,0,3.6,0.6442477876106194
R_8qppLO1hgqB8a3q,non-expert,LLM,4,0,3.0,LLM_first,gpt,gpt_story_3.txt,91,Fluency4,1,0,3.6,0.6442477876106194
R_8qppLO1hgqB8a3q,non-expert,Human,5,1,3.0,LLM_first,Human,human_story_3.txt,92,Fluency5,0,0,3.6,0.6442477876106194
R_8qppLO1hgqB8a3q,non-expert,LLM,5,1,3.0,LLM_first,gpt,gpt_story_3.txt,93,Fluency5,1,0,3.6,0.6442477876106194
R_8qppLO1hgqB8a3q,non-expert,Human,6,0,3.0,LLM_first,Human,human_story_3.txt,94,Flexibility1,0,0,3.6,0.6442477876106194
R_8qppLO1hgqB8a3q,non-expert,LLM,6,0,3.0,LLM_first,gpt,gpt_story_3.txt,95,Flexibility1,1,0,3.6,0.6442477876106194
R_8qppLO1hgqB8a3q,non-expert,Human,7,1,3.0,LLM_first,Human,human_story_3.txt,96,Flexibility2,0,0,3.6,0.6442477876106194
R_8qppLO1hgqB8a3q,non-expert,LLM,7,1,3.0,LLM_first,gpt,gpt_story_3.txt,97,Flexibility2,1,0,3.6,0.6442477876106194
R_8qppLO1hgqB8a3q,non-expert,Human,8,0,3.0,LLM_first,Human,human_story_3.txt,98,Flexibility3,0,0,3.6,0.6442477876106194
R_8qppLO1hgqB8a3q,non-expert,LLM,8,1,3.0,LLM_first,gpt,gpt_story_3.txt,99,Flexibility3,1,0,3.6,0.6442477876106194
R_8qppLO1hgqB8a3q,non-expert,Human,9,1,3.0,LLM_first,Human,human_story_3.txt,100,Originality1,0,0,3.6,0.6442477876106194
R_8qppLO1hgqB8a3q,non-expert,LLM,9,1,3.0,LLM_first,gpt,gpt_story_3.txt,101,Originality1,1,0,3.6,0.6442477876106194
R_8qppLO1hgqB8a3q,non-expert,Human,10,0,3.0,LLM_first,Human,human_story_3.txt,102,Originality2,0,0,3.6,0.6442477876106194
R_8qppLO1hgqB8a3q,non-expert,LLM,10,0,3.0,LLM_first,gpt,gpt_story_3.txt,103,Originality2,1,0,3.6,0.6442477876106194
R_8qppLO1hgqB8a3q,non-expert,Human,11,0,3.0,LLM_first,Human,human_story_3.txt,104,Originality3,0,0,3.6,0.6442477876106194
R_8qppLO1hgqB8a3q,non-expert,LLM,11,0,3.0,LLM_first,gpt,gpt_story_3.txt,105,Originality3,1,0,3.6,0.6442477876106194
R_8qppLO1hgqB8a3q,non-expert,Human,12,1,3.0,LLM_first,Human,human_story_3.txt,106,Elaboration1,0,0,3.6,0.6442477876106194
R_8qppLO1hgqB8a3q,non-expert,LLM,12,1,3.0,LLM_first,gpt,gpt_story_3.txt,107,Elaboration1,1,0,3.6,0.6442477876106194
R_8qppLO1hgqB8a3q,non-expert,Human,13,0,3.0,LLM_first,Human,human_story_3.txt,108,Elaboration2,0,0,3.6,0.6442477876106194
R_8qppLO1hgqB8a3q,non-expert,LLM,13,0,3.0,LLM_first,gpt,gpt_story_3.txt,109,Elaboration2,1,0,3.6,0.6442477876106194
R_8qppLO1hgqB8a3q,non-expert,Human,14,1,3.0,LLM_first,Human,human_story_3.txt,110,Elaboration3,0,0,3.6,0.6442477876106194
R_8qppLO1hgqB8a3q,non-expert,LLM,14,1,3.0,LLM_first,gpt,gpt_story_3.txt,111,Elaboration3,1,0,3.6,0.6442477876106194
R_2oKG9BFZpF01UBz,non-expert,Human,1,1,33.0,LLM_first,Human,human_story_33.txt,112,Fluency1,0,0,2.6,-0.3557522123893806
R_2oKG9BFZpF01UBz,non-expert,LLM,1,1,33.0,LLM_first,gemini,gemini_story_33.txt,113,Fluency1,0,1,2.6,-0.3557522123893806
R_2oKG9BFZpF01UBz,non-expert,Human,2,1,33.0,LLM_first,Human,human_story_33.txt,114,Fluency2,0,0,2.6,-0.3557522123893806
R_2oKG9BFZpF01UBz,non-expert,LLM,2,1,33.0,LLM_first,gemini,gemini_story_33.txt,115,Fluency2,0,1,2.6,-0.3557522123893806
R_2oKG9BFZpF01UBz,non-expert,Human,3,1,33.0,LLM_first,Human,human_story_33.txt,116,Fluency3,0,0,2.6,-0.3557522123893806
R_2oKG9BFZpF01UBz,non-expert,LLM,3,1,33.0,LLM_first,gemini,gemini_story_33.txt,117,Fluency3,0,1,2.6,-0.3557522123893806
R_2oKG9BFZpF01UBz,non-expert,Human,4,1,33.0,LLM_first,Human,human_story_33.txt,118,Fluency4,0,0,2.6,-0.3557522123893806
R_2oKG9BFZpF01UBz,non-expert,LLM,4,1,33.0,LLM_first,gemini,gemini_story_33.txt,119,Fluency4,0,1,2.6,-0.3557522123893806
R_2oKG9BFZpF01UBz,non-expert,Human,5,1,33.0,LLM_first,Human,human_story_33.txt,120,Fluency5,0,0,2.6,-0.3557522123893806
R_2oKG9BFZpF01UBz,non-expert,LLM,5,1,33.0,LLM_first,gemini,gemini_story_33.txt,121,Fluency5,0,1,2.6,-0.3557522123893806
R_2oKG9BFZpF01UBz,non-expert,Human,6,1,33.0,LLM_first,Human,human_story_33.txt,122,Flexibility1,0,0,2.6,-0.3557522123893806
R_2oKG9BFZpF01UBz,non-expert,LLM,6,1,33.0,LLM_first,gemini,gemini_story_33.txt,123,Flexibility1,0,1,2.6,-0.3557522123893806
R_2oKG9BFZpF01UBz,non-expert,Human,7,1,33.0,LLM_first,Human,human_story_33.txt,124,Flexibility2,0,0,2.6,-0.3557522123893806
R_2oKG9BFZpF01UBz,non-expert,LLM,7,1,33.0,LLM_first,gemini,gemini_story_33.txt,125,Flexibility2,0,1,2.6,-0.3557522123893806
R_2oKG9BFZpF01UBz,non-expert,Human,8,1,33.0,LLM_first,Human,human_story_33.txt,126,Flexibility3,0,0,2.6,-0.3557522123893806
R_2oKG9BFZpF01UBz,non-expert,LLM,8,1,33.0,LLM_first,gemini,gemini_story_33.txt,127,Flexibility3,0,1,2.6,-0.3557522123893806
R_2oKG9BFZpF01UBz,non-expert,Human,9,1,33.0,LLM_first,Human,human_story_33.txt,128,Originality1,0,0,2.6,-0.3557522123893806
R_2oKG9BFZpF01UBz,non-expert,LLM,9,1,33.0,LLM_first,gemini,gemini_story_33.txt,129,Originality1,0,1,2.6,-0.3557522123893806
R_2oKG9BFZpF01UBz,non-expert,Human,10,0,33.0,LLM_first,Human,human_story_33.txt,130,Originality2,0,0,2.6,-0.3557522123893806
R_2oKG9BFZpF01UBz,non-expert,LLM,10,1,33.0,LLM_first,gemini,gemini_story_33.txt,131,Originality2,0,1,2.6,-0.3557522123893806
R_2oKG9BFZpF01UBz,non-expert,Human,11,1,33.0,LLM_first,Human,human_story_33.txt,132,Originality3,0,0,2.6,-0.3557522123893806
R_2oKG9BFZpF01UBz,non-expert,LLM,11,1,33.0,LLM_first,gemini,gemini_story_33.txt,133,Originality3,0,1,2.6,-0.3557522123893806
R_2oKG9BFZpF01UBz,non-expert,Human,12,1,33.0,LLM_first,Human,human_story_33.txt,134,Elaboration1,0,0,2.6,-0.3557522123893806
R_2oKG9BFZpF01UBz,non-expert,LLM,12,1,33.0,LLM_first,gemini,gemini_story_33.txt,135,Elaboration1,0,1,2.6,-0.3557522123893806
R_2oKG9BFZpF01UBz,non-expert,Human,13,1,33.0,LLM_first,Human,human_story_33.txt,136,Elaboration2,0,0,2.6,-0.3557522123893806
R_2oKG9BFZpF01UBz,non-expert,LLM,13,1,33.0,LLM_first,gemini,gemini_story_33.txt,137,Elaboration2,0,1,2.6,-0.3557522123893806
R_2oKG9BFZpF01UBz,non-expert,Human,14,1,33.0,LLM_first,Human,human_story_33.txt,138,Elaboration3,0,0,2.6,-0.3557522123893806
R_2oKG9BFZpF01UBz,non-expert,LLM,14,1,33.0,LLM_first,gemini,gemini_story_33.txt,139,Elaboration3,0,1,2.6,-0.3557522123893806
R_8p2snaCUa6Zbxsd,non-expert,Human,1,1,2.0,Human_first,Human,human_story_2.txt,140,Fluency1,0,0,2.2,-0.7557522123893805
R_8p2snaCUa6Zbxsd,non-expert,LLM,1,1,2.0,Human_first,gpt,gpt_story_2.txt,141,Fluency1,1,0,2.2,-0.7557522123893805
R_8p2snaCUa6Zbxsd,non-expert,Human,2,1,2.0,Human_first,Human,human_story_2.txt,142,Fluency2,0,0,2.2,-0.7557522123893805
R_8p2snaCUa6Zbxsd,non-expert,LLM,2,1,2.0,Human_first,gpt,gpt_story_2.txt,143,Fluency2,1,0,2.2,-0.7557522123893805
R_8p2snaCUa6Zbxsd,non-expert,Human,3,1,2.0,Human_first,Human,human_story_2.txt,144,Fluency3,0,0,2.2,-0.7557522123893805
