Woord;Horen;Zien;Ruiken;Proeven;Voelen;Sensaties;Modality;ModalityExclusivity;MaxPercStrength;AvModalityStrength;Minkowski3;Concreteness;ConcretenessCategory;Imageability;ImageabilityCategory;SourceImageability;Frequency;Prevalence;Length;Nsyl;N_phonemes;PoS;OLD20;DLP_RT;DLP_Acc;DCP_RT;DCP_Acc
aai;0,20;3,10;0,00;0,00;4,40;0,80;Voelen;0,517647059;4,4;1,42;4,869911412;4,071428571;high;5,77;high;van Loon;31;1,714173627;3;1;2;N;1;537,85;0,95;1024,92;0,97
aaien;0,00;2,70;0,00;0,00;4,90;0,90;Voelen;0,576470588;4,9;1,42;5,168410557;4,133333333;high;6,23;high;van Loon;92;2,586580787;5;2;3;WW;1,25;571,50;0,951219512;991,05;1
aal;0,00;3,40;0,90;0,30;1,40;0,40;Zien;0,53125;3,4;1,07;3,499809513;4,692307692;high;6,3;high;van Loon;35;1,830407616;3;1;2;N;1;613,63;0,8;1075,17;0,97
aalbes;0,00;4,00;1,92;4,17;2,92;0,25;Proeven;0,314465409;4,17;2,21;5,520109276;4,733333333;high;5,7;high;van Loon;0;1,562257126;6;2;5;N;2;593,23;0,825;1041,53;0,96
aalmoes;0,50;2,90;0,00;0,00;1,50;0,30;Zien;0,557692308;2,9;0,87;3,033549341;3,384615385;high;4,73;high;van Loon;42;2,192198734;7;2;5;N;2,55;634,01;0,925;953,61;0,98
aambeeld;0,69;2,85;0,08;0,00;1,23;0,23;Zien;0,560606061;2,85;0,85;2,934291743;3,785714286;high;4,423076923;high;de Deyne et al. 2008;22;1,982061741;8;2;6;N;2,8;585,51;0,85;1191,81;0,96
aambei;0,00;2,80;0,60;0,50;1,90;0,70;Zien;0,430769231;2,8;1,08;3,089698724;4,133333333;high;3,63;low;van Loon;9;2,231525727;6;2;4;N;2,2;596,47;0,925;1048,46;0,99
aambeien;0,33;2,17;0,08;0,42;1,50;1,50;Zien;0,347222222;2,17;1,00;2,572856166;4,428571429;high;#N/B;#N/B;#N/B;48;2,184575234;8;3;6;N;2,5;598,15;0,95;1066,57;0,98
aanbaksel;0,17;2,75;1,67;1,92;0,75;0,00;Zien;0,379310345;2,75;1,21;3,204099473;3,933333333;high;#N/B;#N/B;#N/B;0;1,639891177;9;3;8;N;2,65;662,72;0,780487805;1357,87;0,92
aanbelanden;0,30;0,80;0,00;0,30;0,10;0,50;Zien;0,4;0,8;0,33;0,884508542;2,666666667;low;#N/B;#N/B;#N/B;1;1,911302125;11;4;9;WW;1,95;695,28;0,804878049;1477,05;0,88
aanbelangen;1,33;1,22;0,00;0,00;0,00;1,78;Sensaties;0,41025641;1,78;0,72;2,141052763;2,066666667;low;#N/B;#N/B;#N/B;2;2,090590382;11;4;8;WW;2,35;686,72;0,926829268;1309,69;0,65
aanbellen;4,50;1,50;0,00;0,00;3,80;0,00;Horen;0,459183673;4,5;1,63;5,305867478;4,133333333;high;6,37;high;van Loon;39;2,716346121;9;3;6;WW;1,9;552,40;0,975609756;1030,28;1
aanbesteden;0,90;1,80;0,00;0,00;0,70;0,00;Zien;0,529411765;1,8;0,57;1,904146071;2;low;#N/B;#N/B;#N/B;0;2,12590728;11;4;9;WW;2,2;635,53;0,825;1162,02;0,99
aanbesteding;0,82;1,27;0,09;0,09;0,18;0,18;Zien;0,448275862;1,27;0,44;1,379083612;2,133333333;low;#N/B;#N/B;#N/B;2;2,187337362;12;4;10;N;3,25;719,91;0,780487805;1216,15;0,99
aanbetaling;0,50;1,75;0,00;0,00;0,75;0,13;Zien;0,56;1,75;0,52;1,807805927;2;low;#N/B;#N/B;#N/B;138;1,32987274;11;4;9;N;2,85;631,18;0,804878049;1180,31;0,95
aanbevelen;3,80;2,20;0,00;0,00;0,40;0,70;Horen;0,535211268;3,8;1,18;4,039749519;2;low;#N/B;#N/B;#N/B;180;2,807044946;10;4;8;WW;2,35;528,24;1;1094,13;0,99
aanbeveling;2,90;1,80;0,00;0,00;0,00;0,80;Horen;0,527272727;2,9;0,92;3,132335833;2,2;low;2,97;low;van Loon;145;2,858890526;11;4;9;N;2,75;576,88;0,975609756;1131,21;1
aanbiddelijk;0,64;1,64;0,27;0,18;0,45;1,73;Sensaties;0,314814815;1,73;0,82;2,148157606;1,666666667;low;#N/B;#N/B;#N/B;33;1,914842054;12;4;9;ADJ;3,55;535,77;0,95;1320,18;0,97
aanbidden;1,55;2,09;0,00;0,00;0,55;2,82;Sensaties;0,402597403;2,82;1,17;3,282774027;2,333333333;low;#N/B;#N/B;#N/B;195;2,707267625;9;3;6;WW;1,8;511,81;0,975609756;960,09;1
aanbidder;2,38;2,69;0,15;0,15;1,00;1,08;Zien;0,340206186;2,69;1,24;3,281356795;2,6;low;#N/B;#N/B;#N/B;71;3,1489912;9;3;7;N;2,5;557,32;1;1009,28;1
aanbidding;2,08;2,08;0,00;0,00;0,69;1,62;Joint;0,321428571;2,08;1,08;2,82165102;2,066666667;low;#N/B;#N/B;#N/B;41;1,749386172;10;3;7;N;2,65;617,92;0,95;1249,54;0,95
